,id,blitz_games,blitz_rating,rapid_games,rapid_rating,bullet_games,bullet_rating,country
120,rishabha,483,1200,893,1443,742,1438,UK
121,sartak12,211,1093,421,1186,522,1098,IN
122,konstantinos6,250,1074,262,1006,241,1043,GR
123,vesperious,305,1116,556,1311,404,1313,HR
124,louis153,251,1086,174,1289,253,970,FR
125,radhacharan2010,161,1140,578,1343,425,1190,US
126,kesitnarf,841,1092,146,1339,187,963,GB
127,luckyboy01,221,1117,138,1300,270,1145,OM
128,soumyajitroy,223,1182,137,1210,1065,1355,IN
129,joaoschimith,287,1011,339,1269,245,1043,NG
130,savva-luchkin,123,1156,1253,1428,129,1187,RU
131,vortexxkrill,173,1098,352,1339,191,1058,US
132,sivaskandan,281,1114,381,800,158,1036,IN
133,oxymoerion,816,1166,152,1375,1264,1218,AL
134,mercyseat,349,1033,418,1163,1430,1274,IE
135,ayushgupta123,249,1071,199,1447,115,890,IN
136,iscar379,139,1097,637,1259,418,1128,US
137,renmn2ys,186,1111,282,1452,150,1059,PH
138,konstantinos6,250,1074,262,1006,241,1043,GR
139,danielidfsoldier,821,1191,287,1414,298,1144,IL
140,wasilowski04,394,1192,377,1133,190,981,PL
141,rishabha,483,1200,893,1443,742,1438,UK
142,vv77620,279,1178,110,1175,475,1245,US
143,asish_ghosh,433,1154,123,1217,305,882,IN
144,randomphantom13,156,1098,478,1534,588,1235,PH
145,majinnox,2248,1145,222,1443,1219,855,IN
146,jorgecanomartin,819,1043,118,1103,1294,1274,ES
147,radhacharan2010,161,1140,578,1343,425,1190,US
148,yazh2020,403,1038,848,1232,357,1173,IN
149,theoverlord420,572,1094,118,1075,224,990,UK
150,sayan05,138,1176,593,1550,112,746,IN
151,pranamya_prachi,256,1019,1545,1332,293,1031,JE
152,laurentiudumitru,250,1188,2356,1388,1847,1038,RO
153,chesskinganurag,2861,1177,1270,1492,1125,988,IN
154,hemantahir,1150,1174,1239,1483,1192,1139,IN
155,geilias99,103,1055,124,1274,243,943,AT
156,ossaaama,1063,1197,329,1358,221,934,MA
157,robertgixon,487,1126,125,1255,664,1054,AE
158,bal7878,2057,1197,116,1450,498,1023,IN
159,jimharwood,4098,1182,774,1352,330,1101,CA
160,milespeppa,284,1100,370,1271,159,911,US
161,freddychess100,185,1031,275,1135,109,920,IN
162,trithyne,416,1169,148,1342,278,1304,GB
163,tnyquist,151,1098,1513,1693,106,1075,IN
164,arsen_ismanov,1242,1165,330,1223,242,1084,KZ
165,luminous104,164,1092,244,1214,320,1107,BD
166,bucky7777777777,187,1118,402,1451,804,1230,IN
167,kh1234aaryan,160,1144,650,1437,136,1147,IN
