,gameid,white_id,white_rating,white_country,white_games,white_win_last_10,white_inaccuracies,white_mistakes,white_blunder,white_acpl,black_id,black_rating,black_country,black_games,black_win_last_10,black_inaccuracies,black_mistakes,black_blunder,black_acpl,game_type,opening,winner,win_by
2142,RbLvPWF2,ekumar73,1811,IN,1021.0,3,0,0,0,10,zozoxy,1834,IN,45.0,2,2,0,1,152,rapid,Scotch Game: Scotch Gambit,white,resign
2143,yDhdiaX5,niksciferkami,1810,RU,590.0,8,0,1,4,26,ekumar73,1827,IN,1021.0,5,3,2,3,38,rapid,English Opening: King's English Variation,white,mate
2144,GEAIhatF,ekumar73,1833,IN,1021.0,6,2,2,6,85,niksciferkami,1798,RU,590.0,7,5,3,3,63,rapid,Sicilian Defense: Smith-Morra Gambit,black,resign
2145,XJZfHgqs,karthik_shinbukan,1775,IN,320.0,2,5,2,4,118,fernando13878,1752,VE,310.0,5,3,0,5,110,rapid,King's Gambit Declined: Queen's Knight Defense,draw,draw
2146,NxEmhAev,edvardsgaidis,1731,LV,268.0,2,1,0,3,67,karthik_shinbukan,1803,IN,320.0,5,1,3,2,100,rapid,Russian Game: Stafford Gambit,white,resign
2147,TAstqIdW,arturbaloev,1760,RU,1556.0,3,0,4,5,122,karthik_shinbukan,1839,IN,320.0,4,1,3,7,158,rapid,Russian Game: Italian Variation,white,resign
2148,bTHuOAaB,karthik_shinbukan,1847,IN,320.0,5,3,0,4,131,grzesiek-412,1664,PL,2820.0,3,4,1,3,94,rapid,"Sicilian Defense: O'Kelly Variation, Yerevan System",black,mate
2149,GeEoeC5h,karthik_shinbukan,1854,IN,320.0,5,4,2,2,83,cowraces,1807,IT,865.0,6,1,1,1,41,rapid,Sicilian Defense: Grand Prix Attack,black,resign
2150,VBQRu0VV,mattiatrucco,1638,IT,3275.0,5,3,1,3,83,vaish22,1652,IN,815.0,4,3,1,6,123,blitz,London System,white,resign
2151,eYnq2Lt7,mattiatrucco,1634,IT,3275.0,5,4,0,4,100,we34,1622,RU,1252.0,3,2,3,2,64,blitz,Queen's Pawn Game: Mason Variation,black,resign
2152,bFTMfPLL,mattiatrucco,1804,IT,643.0,6,8,3,6,112,william-colombia,1798,CO,2169.0,4,5,4,6,91,rapid,Queen's Pawn Game,black,resign
2153,2tslFnPh,rengren,1774,PL,1373.0,5,3,1,0,36,mattiatrucco,1796,IT,643.0,5,2,0,1,91,rapid,"French Defense: Advance Variation, Euwe Variation",white,mate
2154,ZSwftD03,barbucoa,1405,AR,5155.0,3,3,1,2,26,mrv-13,1421,JO,563.0,6,2,1,1,24,blitz,Nimzo-Larsen Attack: Classical Variation,draw,draw
2155,xrqvN4eH,mrv-13,1867,JO,321.0,2,6,2,4,105,ziditajs,1846,LV,316.0,6,0,2,6,143,rapid,"Caro-Kann Defense: Advance Variation, Bayonet Attack",white,resign
2156,YBS3yWtY,mrv-13,1395,JO,563.0,5,0,2,4,55,eg96,1519,CH,327.0,3,2,1,3,93,blitz,"Sicilian Defense: Najdorf Variation, English Attack",white,outoftime
2157,dn6Ojwv9,mbed92,1758,PL,631.0,7,4,0,4,122,damxo,1755,ET,205.0,5,3,0,3,86,rapid,Sicilian Defense: Delayed Alapin,black,mate
2158,LQtnxFbp,dinasor,1930,FR,26846.0,6,1,1,0,20,damxo,1618,ET,2618.0,5,4,1,2,58,blitz,Sicilian Defense: Closed,white,resign
2159,fmufEeqd,damxo,1544,ET,2219.0,1,6,0,0,32,ritij_dahal7,1539,NP,2322.0,4,6,1,1,60,bullet,Queen's Gambit Declined: Albin Countergambit,white,mate
2160,RvJuHCGM,damxo,1557,ET,2219.0,3,0,4,4,138,khsj10,1567,DE,17441.0,2,4,1,2,93,bullet,Indian Defense: Przepiorka Variation,black,mate
2161,zmTTka6P,damxo,1586,ET,2219.0,4,3,0,2,82,solaymane1,1810,MA,5042.0,5,2,1,0,29,bullet,English Defense,black,mate
2162,lCA3AIxJ,akrauze,1649,PL,1092.0,3,1,0,3,73,bitthought,1647,DE,3143.0,4,0,1,0,30,rapid,King's Gambit Accepted: King Knight's Gambit,black,resign
2163,GfbzjnIO,zoyals,1698,RU,607.0,5,4,3,3,130,akrauze,1650,PL,1092.0,4,3,2,1,91,rapid,Sicilian Defense: Marshall Gambit,black,mate
2164,WfPn17aY,geithster,1704,US,1615.0,10,1,2,5,202,akrauze,1624,PL,1092.0,4,1,1,5,141,rapid,Sicilian Defense: Marshall Gambit,black,resign
2165,MPoPOLT8,zanmlakar,1221,NL,2927.0,5,4,1,2,38,joaoemmerich,1248,BR,2535.0,8,3,1,2,39,bullet,Queen's Pawn Game: Mason Variation,white,outoftime
2166,ImpBcT1H,notorious1717,1265,TR,955.0,4,2,3,5,91,zanmlakar,1222,NL,2927.0,6,7,0,5,77,bullet,"Sicilian Defense: Richter-Rauzer Variation, Podebrady Variation",black,resign
2167,mQ3qGIJq,fundemontail,1251,DE,4088.0,2,4,1,3,99,zanmlakar,1221,NL,2927.0,5,7,0,2,65,bullet,Sicilian Defense: Bowdler Attack,black,mate
2168,GnMsB1Xk,zanmlakar,1217,NL,2927.0,5,3,1,2,53,backspin,1203,DE,191.0,4,3,4,2,100,bullet,Horwitz Defense,white,resign
2169,5vLqHcsG,sekiboem,1173,HR,1022.0,8,1,0,1,51,zanmlakar,1172,NL,2927.0,3,0,0,0,22,bullet,Sicilian Defense: Modern Variations,black,mate
2170,7dWkoHyM,esimkhan,1364,KZ,1267.0,5,3,1,1,101,nihar53,1279,IN,462.0,6,4,0,2,143,bullet,Zukertort Opening: Sicilian Invitation,draw,draw
2171,B7Pi3oH3,nihar53,1445,IN,333.0,4,6,5,8,159,kamjaba,1457,IR,1087.0,8,1,8,7,140,blitz,Zukertort Opening: Kingside Fianchetto,black,mate
2172,eStpnnnv,ouarzazates,1355,FR,2551.0,4,4,4,11,141,nihar53,1458,IN,333.0,5,8,3,13,153,blitz,Nimzowitsch Defense: Williams Variation,white,mate
2173,EiadFDL6,nihar53,1466,IN,333.0,5,2,1,4,88,sm4rtb0y,1398,FR,2427.0,2,5,0,3,53,blitz,Zukertort Opening,black,mate
2174,ySDAHKCM,nihar53,1468,IN,333.0,5,6,0,0,30,muhammadadam8,1365,MY,2661.0,4,6,3,1,74,blitz,Zukertort Opening: Queen's Gambit Invitation,white,mate
2175,uI1Qs8fB,f_regner,1470,SE,158.0,3,2,2,4,73,ritvik2013,1487,US,769.0,6,1,0,2,41,blitz,Sicilian Defense: Smith-Morra Gambit,black,outoftime
2176,nQ5QsrhB,jurezmoodez,1938,RU,2226.0,5,4,2,3,74,ritvik2013,1450,US,769.0,3,3,3,1,37,blitz,Scotch Game: Relfsson Gambit,black,resign
2177,1toSJcBL,ritvik2013,1427,US,769.0,3,3,1,0,48,dusan_82,1833,RS,2076.0,3,5,2,1,83,blitz,Scandinavian Defense,white,resign
2178,T9W7qwgM,ritvik2013,1447,US,769.0,8,0,0,1,41,pawnpush39,1999,US,997.0,3,2,0,0,36,blitz,Sicilian Defense: Kramnik Variation,draw,draw
2179,RsdeZBoG,vijay_kumar007,1417,IN,37.0,3,2,1,1,44,ritvik2013,1442,US,769.0,6,4,4,1,72,blitz,"Italian Game: Classical Variation, Giuoco Pianissimo",white,mate
